6.5123,3.2019,192.75
6.0005,2.6902,180.25
9.1581,5.8477,165.42
2.811,-0.49931,155.27
8.0892,4.7789,145.73
4.1295,0.81913,134.17
9.7494,6.439,121.48
8.5245,5.2141,103.25
7.4062,4.0959,87.361
2.9341,-0.37624,78.037
1.139,-2.1713,74.381
2.8904,-0.41995,70.752
5.8282,2.5179,62.544
1.9761,-1.3342,55.756
8.6839,5.3735,47.471
9.1977,5.8873,29.597
4.0035,0.69319,17.461
5.2223,1.9119,8.3157
1.0261,-2.2843,3.686
3.3103,0,0
4.0793,7.3495,0.76897
3.3595,14.753,0.049148
7.148,24.554,3.8377
9.2007,40.773,5.8903
6.1345,55.799,2.8242
3.3875,64.916,0.077161
9.3562,76.176,6.0459
1.5782,83.861,-1.7321
4.5446,89.217,1.2343
9.5345,102.38,6.2242
5.6475,117.06,2.3372
9.6103,131.79,6.3
3.4482,143.31,0.13785
5.7429,152.21,2.4326
9.2007,166.74,5.8904
2.9322,177.13,-0.37817
8.4411,187.08,5.1307
2.2449,195.79,-1.0654
4.9398,202.45,1.6294
1.8998,205.49,7.7562
7.7836,199.6,15.447
3.5299,203.86,25.93
1.9094,205.48,31.123
8.0404,199.35,38.959
9.2485,198.14,56.206
3.7894,203.6,68.046
7.7232,199.67,78.865
6.5999,200.79,93.144
6.2915,201.1,106.03
2.077,205.31,113.26
2.7915,204.6,118.08
1.1338,206.25,121.64
8.6183,198.77,127.89
1.2321,206.16,134.4
3.1729,204.22,138.36
1.7005,205.69,143
6.4864,200.9,149.65
5.4732,201.92,161.56
7.3388,200.05,174.24
8.8775,198.51,190.38
8.1084,181.54,191.15
1.9205,173.65,197.34
7.2885,166.17,191.97
6.9585,151.92,192.3
7.9579,137.04,191.3
9.3878,119.75,189.87
2.592,109.89,196.67
1.1838,106.39,198.08
8.5028,100.04,190.76
5.2587,86.667,194
1.9778,80.217,197.28
1.8015,76.441,197.46
2.0362,72.611,197.22
2.5118,68.088,196.75
9.7526,58.189,189.51
3.574,46.381,195.69
6.3912,36.823,192.87
8.6699,21.935,190.59
2.904,11.899,196.36
6.2321,7.9888,74.29
6.8842,15.205,63.337
4.5264,18.747,74.184
2.074,35.198,81.027
9.8068,57.083,84.59
7.1738,73.946,86.59
5.2427,86.003,89.554
1.6636,92.061,92.871
2.7754,89.734,96.651
9.4607,95.098,107.65
7.4925,98.516,124.25
7.6271,100.79,139.2
2.6783,101.19,149.5
8.4189,101.26,160.6
2.2674,97.604,170.64
8.5377,108.47,175.95
3.9061,68.414,180.45
2.9893,45.451,189.19
3.6485,10.595,185.78
3.597,8.5299,134.67
4.5639,15.025,82.478
9.8033,31.877,64.076
2.2899,42.438,69.967
2.3999,60.789,72.959
4.9038,75.531,74.617
4.8146,83.787,79.744
1.8026,113.26,69.131
7.9545,108.63,77.719
5.9133,105.8,91.295
4.4086,124.06,114.8
9.9957,115.47,128.54
1.5131,109.91,138.61
5.6429,109.51,149.2
7.0026,116.54,162.67
6.5543,123.48,174.37
5.5692,94.487,177.83
7.017,75.604,188.68
9.9514,39.318,176.72
2.1046,31.719,186.08
